error,type,scenario,model,mean,sd
rmse,int,1,nullinformed,0.49555059552574565,3.935608158401122e-4
rmse,int,1,semiinformed,0.4584119964658503,0.0012546776709654393
rmse,int,1,fullinformed,0.45842702679356506,0.0012472122469635643
rmse,int,2,nullinformed,0.43890663599727675,0.0013658872524753324
rmse,int,2,semiinformed,0.3132345004025681,0.0020146135387062373
rmse,int,2,fullinformed,0.31002279956761913,0.001924864667829089
rmse,int,3,nullinformed,0.47501753360426663,9.078379995876917e-4
rmse,int,3,semiinformed,0.45802348777419755,0.0012853811554804698
rmse,int,3,fullinformed,0.45804254030588465,0.0012850427915743457
rmse,int,4,nullinformed,0.4964836591657147,3.843564676224563e-4
rmse,int,4,semiinformed,0.4581690640260045,0.001420063973663813
rmse,int,4,fullinformed,0.45818912716651605,0.0014266709013345277
rmse,int,5,nullinformed,0.31806719536396827,0.0023383101839808905
rmse,int,5,semiinformed,0.24504702306985873,0.0024356493313409454
rmse,int,5,fullinformed,0.2412821131114365,0.002325630711280429
rmse,int,6,nullinformed,0.46121110588199493,0.0011118483222995802
rmse,int,6,semiinformed,0.3369505351287966,0.0019629281827178713
rmse,int,6,fullinformed,0.33393716958755426,0.0018211930982196176
rmse,ext,1,nullinformed,0.18857170839632745,3.8507577562058064e-4
rmse,ext,1,semiinformed,0.005276925406998261,0.00192811082918695
rmse,ext,1,fullinformed,0.00673989339743958,0.0018350002959961057
rmse,ext,2,nullinformed,0.31080301151768275,6.704676935638098e-4
rmse,ext,2,semiinformed,0.045081806693374395,0.001172017692264667
rmse,ext,2,fullinformed,0.005385496028511195,0.0014884532974321469
rmse,ext,3,nullinformed,0.125754016516238,0.0010461891824030353
rmse,ext,3,semiinformed,0.005440284567701095,0.002066660864654384
rmse,ext,3,fullinformed,0.006723017480923002,0.0021025315754873157
rmse,ext,4,nullinformed,0.19109280595750186,3.031993610577305e-4
rmse,ext,4,semiinformed,0.005113092942878123,0.0018730089166397437
rmse,ext,4,fullinformed,0.0065391712615701335,0.001966351892914982
rmse,ext,5,nullinformed,0.20743062187219707,0.0015805026443906434
rmse,ext,5,semiinformed,0.043272543778737495,9.728921037256833e-4
rmse,ext,5,fullinformed,0.005370665011901296,0.0014955352553980986
rmse,ext,6,nullinformed,0.31805249764616816,4.4214000818837315e-4
rmse,ext,6,semiinformed,0.04548242091932526,0.001354100545139307
rmse,ext,6,fullinformed,0.005280298966270297,0.0016633784381465506
rss,int,1,nullinformed,6753.190016846234,10.727399205001698
rss,int,1,semiinformed,5778.935716886865,31.646034587989845
rss,int,1,fullinformed,5779.314169139311,31.458835313591987
rss,int,2,nullinformed,5297.6242581336965,32.97953798117764
rss,int,2,semiinformed,2698.296433895691,34.696352385887806
rss,int,2,fullinformed,2643.239618379077,32.813980462464876
rss,int,3,nullinformed,6205.168011889433,23.715064796306162
rss,int,3,semiinformed,5769.146653476476,32.37895701666998
rss,int,3,fullinformed,5769.626597666095,32.37163949505468
rss,int,4,nullinformed,6778.644676957252,10.494887882685335
rss,int,4,semiinformed,5772.824410274278,35.76193435700271
rss,int,4,fullinformed,5773.330510463338,35.92911713866461
rss,int,5,nullinformed,2782.234229067483,40.863783308921484
rss,int,5,semiinformed,1651.4827059276834,32.826162847992606
rss,int,5,fullinformed,1601.116345953939,30.863953193271268
rss,int,6,nullinformed,5849.714970921735,28.202479911428288
rss,int,6,semiinformed,3122.3356361934652,36.38507917141922
rss,int,6,fullinformed,3066.7262122476363,33.45039522405359
rss,ext,1,nullinformed,977.8844902207973,3.994661203985404
rss,ext,1,semiinformed,0.8669753676912754,0.6255772104325886
rss,ext,1,fullinformed,1.3408922129430405,0.7362076198891041
rss,ext,2,nullinformed,2656.4713175032907,11.462055003872136
rss,ext,2,semiinformed,55.927552558763814,2.9138274483978517
rss,ext,2,fullinformed,0.8579149083879033,0.4545253339384061
rss,ext,3,nullinformed,434.9167965079734,7.231991993051168
rss,ext,3,semiinformed,0.9301894919835585,0.7086728684457382
rss,ext,3,fullinformed,1.3633234088226016,0.8663477751220158
rss,ext,4,nullinformed,1004.2051662298009,3.185736544870041
rss,ext,4,semiinformed,0.8144620060583581,0.5489939226653912
rss,ext,4,fullinformed,1.2811874668243022,0.715244082522198
rss,ext,5,nullinformed,1183.3232372227542,18.024711035977674
rss,ext,5,semiinformed,51.51987772078922,2.3279464131593763
rss,ext,5,fullinformed,0.8541033081129454,0.5131747457001254
rss,ext,6,nullinformed,2781.8335817765565,7.7340705105114935
rss,ext,6,semiinformed,56.93781128986938,3.418193173453702
rss,ext,6,fullinformed,0.8420697098935307,0.546875175264071
